일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금
"2025/07/03","147540","1320","0.90","146700","147540","146140","179516","26374081430"
"2025/07/02","146220","580","0.40","146350","146550","145790","121546","17788169840"
"2025/07/01","145640","2350","1.64","143930","145650","143930","127296","18424023510"
"2025/06/30","143290","-1110","-0.77","143890","143890","143000","348632","49973304040"
"2025/06/27","144400","-1590","-1.09","145400","145510","144220","221481","32068855890"
"2025/06/26","145990","-450","-0.31","146440","146450","145830","133186","19450533210"
"2025/06/25","146440","420","0.29","145890","146590","145440","157233","22958411560"
"2025/06/24","146020","-3730","-2.49","148180","148180","145980","328013","48292566700"
"2025/06/23","149750","1780","1.20","150310","150390","149480","646775","96330071480"
"2025/06/20","147970","-1030","-0.69","149080","149150","147510","310960","46048424830"
"2025/06/19","149000","20","0.01","149110","150480","149000","167922","25121451250"
"2025/06/18","148980","260","0.17","149800","150500","148980","129140","19307329680"
"2025/06/17","148720","-990","-0.66","149130","149150","147800","217024","32264932630"
"2025/06/16","149710","-820","-0.54","152300","152340","149520","235162","35490030480"
"2025/06/13","150530","3440","2.34","148000","151190","147900","312916","47047862740"
"2025/06/12","147090","-230","-0.16","148000","148500","147010","150908","22316421260"
"2025/06/11","147320","1120","0.77","146200","147470","146200","167077","24567764230"
"2025/06/10","146200","980","0.67","145230","146200","144690","119045","17282492960"
"2025/06/09","145220","-2090","-1.42","146190","146190","144400","230664","33469678420"
"2025/06/05","147310","-520","-0.35","148020","148440","147200","184108","27170556410"
"2025/06/04","147830","430","0.29","148310","149020","147830","160983","23900287190"
"2025/06/02","147400","1050","0.72","146410","147400","146410","126588","18597637910"
"2025/05/30","146350","1160","0.80","145760","146610","145630","166960","24410332420"
"2025/05/29","145190","-1080","-0.74","145340","145980","143900","152152","22085348870"
"2025/05/28","146270","-330","-0.23","146530","146610","145900","178155","26057929290"
"2025/05/27","146600","-400","-0.27","147060","147720","146440","88839","13061341830"
"2025/05/26","147000","-360","-0.24","147500","147800","146760","101822","14987048710"
"2025/05/23","147360","-740","-0.50","147330","147570","145980","157566","23131476820"
"2025/05/22","148100","140","0.09","147390","148700","147010","142248","21058218970"
"2025/05/21","147960","3560","2.47","146720","148010","146720","218410","32160823510"
"2025/05/20","144400","-1100","-0.76","144980","145200","144120","117922","17046726600"
"2025/05/19","145500","1060","0.73","146340","146360","144780","215282","31339236810"
"2025/05/16","144440","2650","1.87","145360","146300","144120","210768","30551547690"
"2025/05/15","141790","-5930","-4.01","145560","145560","141600","499429","71411200070"
"2025/05/14","147720","-690","-0.46","148590","148990","147090","160090","23630579780"
"2025/05/13","148410","-50","-0.03","147630","148460","146370","274154","40451172690"
"2025/05/12","148460","-1480","-0.99","148460","148920","147230","234585","34740324300"
"2025/05/09","149940","-540","-0.36","150000","150850","149230","180736","27114516690"
"2025/05/08","150480","-2400","-1.57","152750","153730","150300","197591","30090847360"
"2025/05/07","152880","4610","3.11","151600","152910","150570","253155","38487181580"
"2025/05/02","148270","-3530","-2.33","149340","150480","148270","324737","48533083370"
"2025/04/30","151800","-1510","-0.98","153200","153300","151620","167097","25443049320"
"2025/04/29","153310","520","0.34","154100","154500","152910","187387","28822792840"
"2025/04/28","152790","-150","-0.10","153030","153700","151480","218974","33437023870"
"2025/04/25","152940","-760","-0.49","154900","155300","152300","264614","40801558770"
"2025/04/24","153700","1320","0.87","152100","155340","152000","287071","44132724280"
"2025/04/23","152380","-7010","-4.40","153440","155990","152080","539790","83226374520"
"2025/04/22","159390","4570","2.95","156890","159530","156630","406483","64237092280"
"2025/04/21","154820","2560","1.68","153480","154820","153120","257586","39743767240"
"2025/04/18","152260","210","0.14","151940","153000","151930","126777","19286169620"
"2025/04/17","152050","1020","0.68","153000","153500","151930","322333","49123268790"
"2025/04/16","151030","2780","1.88","149700","151030","149700","261758","39357960650"
"2025/04/15","148250","-150","-0.10","148590","148590","147370","131186","19404618260"
"2025/04/14","148400","-680","-0.46","148270","149730","147740","239112","35484527360"
"2025/04/11","149080","2580","1.76","149230","150420","148440","394772","59069911990"
"2025/04/10","146500","1900","1.31","145530","147320","145000","232375","33925659360"
"2025/04/09","144600","1750","1.23","141540","144600","141540","161549","23163542610"
"2025/04/08","142850","450","0.32","142280","142850","141020","156884","22286145620"
"2025/04/07","142400","-1590","-1.10","138990","144960","137990","448242","63502288830"
"2025/04/04","143990","-4010","-2.71","146680","146680","143520","345220","49993395150"
"2025/04/03","148000","620","0.42","149790","150490","147400","279956","41639158710"
"2025/04/02","147380","-2010","-1.35","149100","149100","147140","341753","50620062110"
"2025/04/01","149390","390","0.26","149750","150660","148870","491736","73614187180"
"2025/03/31","149000","3450","2.37","147440","149000","146410","477631","70280562930"
"2025/03/28","145550","2130","1.49","144740","145550","144490","347612","50359820450"
"2025/03/27","143420","510","0.36","143290","143440","143070","239079","34250915610"
"2025/03/26","142910","-30","-0.02","143000","143000","142580","178734","25505560200"
"2025/03/25","142940","-320","-0.22","143100","143100","142600","194915","27847999190"
"2025/03/24","143260","-370","-0.26","143630","143630","142680","365852","52354725250"
"2025/03/21","143630","-600","-0.42","144900","144900","143410","334444","48193451640"
"2025/03/20","144230","720","0.50","144550","145020","144080","378741","54641648190"
"2025/03/19","143510","1180","0.83","143870","143870","143000","417603","59745997620"
"2025/03/18","142330","1850","1.32","140620","142330","140480","321946","45409299780"
"2025/03/17","140480","-520","-0.37","142000","142090","139980","412467","58114193250"
"2025/03/14","141000","1490","1.07","142930","142960","140870","436513","61811942220"
"2025/03/13","139510","820","0.59","139510","139860","138780","353870","49260089950"
"2025/03/12","138690","20","0.01","140500","140600","138170","280636","39051184610"
"2025/03/11","138670","-1210","-0.87","139500","139510","137240","353329","48947411630"
"2025/03/10","139880","80","0.06","139860","140490","139400","351575","49183404650"
"2025/03/07","139800","-3940","-2.74","143700","143700","139040","474381","66758185860"
"2025/03/06","143740","-860","-0.59","143690","144620","142200","312411","44908643360"
"2025/03/05","144600","1860","1.30","145690","145700","142740","437605","62904082170"
"2025/03/04","142740","3710","2.67","140010","145600","140000","598416","85304181400"
"2025/02/28","139030","720","0.52","136120","139300","136030","474539","65213265350"
"2025/02/27","138310","-3210","-2.27","141520","141530","137770","509145","70886471750"
"2025/02/26","141520","-4310","-2.96","144380","145000","141000","399087","57390422960"
"2025/02/25","145830","-110","-0.08","147450","147900","144440","382447","55840354210"
"2025/02/24","145940","-630","-0.43","146900","148600","144800","492950","72223580810"
"2025/02/21","146570","60","0.04","147000","150300","145060","473565","69727003450"
"2025/02/20","146510","-3340","-2.23","150490","150490","145010","447716","65585024780"
"2025/02/19","149850","-3240","-2.12","156200","158000","147250","454155","69730105670"
"2025/02/18","153090","-4910","-3.11","157900","158000","150000","627574","96317427110"
"2025/02/17","158000","-5530","-3.38","160000","160000","151430","642872","101667051850"
"2025/02/14","163530","1540","0.95","164600","168500","159800","790168","130833362220"
"2025/02/13","161990","3120","1.96","158900","162000","157850","581731","93324663730"
"2025/02/12","158870","-540","-0.34","160200","160200","155000","634232","100715853750"
"2025/02/11","159410","6610","4.33","155800","159870","155800","614576","97068823010"
"2025/02/10","152800","7200","4.95","150000","153000","147700","429678","64510603790"
"2025/02/07","145600","-500","-0.34","146700","149500","141150","485196","70390617300"
"2025/02/06","146100","-1720","-1.16","149430","156490","139990","711228","107044442750"
"2025/02/05","147820","6470","4.58","141420","149550","141420","717023","105178242720"
"2025/02/04","141350","3350","2.43","139600","141390","136500","495352","68961343860"
"2025/02/03","138000","4800","3.60","135000","138000","134800","408367","55652814730"
"2025/01/31","133200","2850","2.19","131980","133310","131960","318762","42201741210"
"2025/01/24","130350","380","0.29","129960","130410","129950","166094","21629484290"
"2025/01/23","129970","-110","-0.08","130300","130310","129760","130059","16906601390"
"2025/01/22","130080","840","0.65","129650","130120","129650","106971","13906151710"
"2025/01/21","129240","540","0.42","128600","129610","127840","153265","19690202650"
